Name,Description
ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดีความผิดเกี่ยวกับการค้ามนุษย์ | Knowledge of Criminal Justice System in Conducting Human Trafficking Cases,วิชานี้ มุ่งให้ความรู้เกี่ยวกับการดำเนินคดีค้ามนุษย์ในชั้นก่อนฟ้องจนถึงการดำเนินคดีในชั้นศาลซึ่งจะทำให้ผู้เรียนสามารถมีความรู้ความเข้าใจในขั้นตอนตั้งแต่เริ่มร่วมสอบสวนกับพนักงานสอบสวน การคัดแยกผู้เสียหายในคดีค้ามนุษย์ การเข้าร่วมประชุมเพื่อพิจารณาค่าสินไหมทดแทนของผู้เสียหาย การทำงานของพนักงานอัยการ การตรวจเอกสารสำนวนเบื้องต้นเขตอำนาจศาล อายุความ ระยะเวลาคุมสำนวน การยื่นเอกสาร องค์ประกอบฟ้องที่จำเป็น ขั้นตอนการดำเนินคดีในศาล ตลอดจนปัญหาที่พบ และเทคนิคการแก้ปัญหานั้น ๆ
ทักษะทางสังคม | Soft Skills,"รายวิชาเป็นหลักสูตรส่งเสริมการพัฒนาประเทศไทยให้สามารถแข่งขันกับเวทีโลกได้ภายใต้การเปลี่ยนแปลงของเทคโนโลยีดิจิทัล และการปฏิรูปอุตสาหกรรมในยุคดิจิทัล ให้เกิดการปรับเปลี่ยนโครงสร้างองค์การ การบริหารจัดการ ภาคการผลิต ภาคการเกษตร และภาคบริการ ที่ใช้เทคโนโลยีดิจิทัลเข้ามาช่วยเพิ่มผลผลิต และลดต้นทุนค่าใช้จ่ายอย่างมีประสิทธิภาพ ซึ่งกลไกสำคัญอย่างหนึ่งคือ ทรัพยากรมนุษย์ที่มีทักษะ และความสามารถสูงเป็นปัจจัยสำคัญยิ่งที่จะช่วยนำพาองค์การ สังคม และประเทศชาติไปสู่เป้าหมายเหล่านั้น ได้อย่างมีประสิทธิภาพ ซึ่งศักยภาพการทำงานของมนุษย์ในยุคดิจิทัล ซึ่ง AI ไม่สามารถทำหน้าที่แทนได้ คือ “ทักษะทางสังคม” เป็นพฤติกรรมภายใน ได้แก่ คุณลักษณะด้านอารมณ์ ความรู้สึก การมองเห็นคุณค่า แรงจูงใจ ทัศนคติ ความเชื่อ คุณธรรม ที่มีหล่อหลอมเป็นนิสัยและบุคลิกภาพอยู่ในตัวบุคคล ในทางธุรกิจใช้คำว่า “Soft Skills” เป็นการใช้หัวใจในการทำงานให้ประสบความสำเร็จโดยต้องมีกระบวนการพัฒนาและจูงใจให้เกิดพฤติกรรมภายในอย่างต่อเนื่อง ซึ่งกลุ่มอาชีพต่าง ๆ จะต้องได้รับการพัฒนา Reskill, Upskill และ New Skill ภายใต้ยุทธศาสตร์ ที่ 5 การปรับเปลี่ยนสู่ยุคดิจิทัล (Digital Transformation) ในการสนับสนุนเพื่อการประกอบอาชีพของประชาชนไทยให้ประสบความสำเร็จ สร้างคุณค่าและเพิ่มมูลค่าให้กับเศรษฐกิจอย่างก้าวกระโดด ดังความเชื่อมโยงระหว่างกลุ่มอาชีพกับทักษะทางสังคม เพื่อให้สอดคล้องกับนโยบายและแผนปฏิบัติการด้านพัฒนากำลังคนให้พร้อมเข้าสู่ยุคเศรษฐกิจและสังคมดิจิทัล ระยะที่ 2 (พ.ศ. 2566 – 2570) ของสำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ ยุทธศาสตร์ที่ 5 พัฒนากำลังคนให้พร้อมเข้าสู่ยุคเศรษฐกิจและสังคมดิจิทัล มุ่งเน้นการพัฒนากำลังคนดิจิทัล (Digital Workforce) โดยส่งเสริมให้กลุ่มคนทำงานในทุกสาขาอาชีพซึ่งถือเป็นกำลังสำคัญในการสร้างผลิตภาพการผลิต (Productivity) การพัฒนาทักษะและเพิ่มเติมทักษะ (Reskill and Upskill) เป็นทักษะที่ตลาดต้องการ ผ่านระบบการศึกษาแบบเปิดโดยมีการรับรองมาตรฐานที่เป็นที่ยอมรับ รวมถึงเตรียมความพร้อมให้ประชาชนทั่วไปมีความรู้และทักษะด้านดิจิทัลอย่างทัดเทียมกัน เพื่อให้มีกำลังคนที่มีประสิทธิภาพและได้รับการยอมรับจากภาคเอกชนเข้ามารองรับการทำงานในตลาดแรงงาน นอกจากนี้ ยังมีการสร้างผู้นำการพัฒนาด้านดิจิทัลและสนับสนุนทุนวิจัย ในด้านเทคโนโลยีดิจิทัลขั้นสูงอย่างต่อเนื่องเพื่อช่วยในการพัฒนาและเพิ่มศักยภาพของประเทศในด้านเศรษฐกิจและสังคมดิจิทัล หลักสูตรการพัฒนาทักษะทางสังคมที่จำเป็นในยุคดิจิทัลเพื่อรองรับการพัฒนาแห่งอนาคต เป็นการพัฒนาหลักสูตรภายใต้โครงการศึกษาและพัฒนาทักษะทางสังคม (Soft Skills) และทักษะดิจิทัล (Digital Skills) เพื่อรองรับการพัฒนาแห่งอนาคต ภายใต้กรอบความร่วมมือระหว่างประเทศ มีทักษะทางสังคมหลักจำนวน 5 ทักษะ ได้แก่ (1) ภาวะผู้นำ (2) การคิดแบบเติบโต (3) ความฉลาดทางอารมณ์ (4) การเรียนรู้ตลอดชีวิต (5) ทีมงานและความร่วมมือ และทักษะย่อยจำนวน 21 ทักษะ"
การผลิตสื่อออนไลน์คณิตศาสตร์สำหรับผู้บกพร่องทางการมองเห็น | Mathematics online media production for the visually impaired,รายวิชานี้ได้รับทุนสนับสนุนจากกองทุนพัฒนาเทคโนโลยีเพื่อการศึกษา สำนักงานปลัดกระทรวงศึกษาธิการ การผลิตสื่อออนไลน์คณิตศาสตร์สำหรับผู้บกพร่องทางการมองเห็นMathematics online media production for the visually impaired รายวิชานี้นำเสนอคุณลักษณะของสื่อออนไลน์คณิตศาสตร์ที่สนับสนุนการเรียนรู้ของผู้บกพร่องทางการมองเห็นและแนะนำวิธีการสร้างรวมถึงปรับปรุงสื่อออนไลน์คณิตศาสตร์ที่มีอยู่ให้สนับสนุนการเรียนรู้ของผู้เรียนพิเศษกลุ่มดังกล่าว ประกอบไปด้วยการใส่ข้อความแสดงแทน การสร้างภาพเวกเตอร์กราฟิกส์ การใส่สมการโดยใช้ชุดคำสั่ง LaTeX การสร้างเอกสารและหน้าเว็บที่เข้าถึงได้ การบรรยายในวิดีโอ และการเขียนข้อสอบ เพื่อให้ผู้บกพร่องทางการมองเห็นสามารถเรียนได้ *เทคนิคที่นำเสนอในรายวิชานี้เหมาะสำหรับใช้สร้างสื่อออนไลน์คณิตศาสตร์สำหรับผู้เรียนสายตาปกติทั่วไปด้วยเช่นกัน* ควรเป็นผู้ที่ผลิตสื่อออนไลน์คณิตศาสตร์อยู่แล้ว กิจกรรมการเรียนรู้ทั้งหมดประกอบด้วย ในการพิจารณาผ่านรายวิชา ผู้เรียนต้องได้คะแนนรวมมากกว่า 70% เพื่อรับประกาศนียบัตรในระบบ
ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดีทุจริตและประพฤติมิชอบ | Knowledge of Criminal Justice System in Conducting Corruption and Misconduct Cases,รายวิชานี้ มุ่งให้ความรู้เกี่ยวกับการดำเนินคดีทุจริตและประพฤติมิชอบในชั้นก่อนฟ้องจนถึงการดำเนินคดีในชั้นศาล ซึ่งจะทำให้ผู้เรียนสามารถมีความรู้ความเข้าใจบทบาทและอำนาจหน้าที่ของพนักงานอัยการเกี่ยวกับการดำเนินคดีทุจริตและประพฤติมิชอบ ในขั้นตอนตั้งแต่กระบวนการในชั้นพิจารณาสำนวน การตรวจเอกสาร การทำความเห็นและคำสั่งคดี บทกฎหมาย และพยานหลักฐานที่เกี่ยวข้องกับการดำเนินคดี การบรรยายฟ้อง และขั้นตอนการดำเนินคดีในชั้นศาล ตลอดจนปัญหาที่พบและวิธีการแก้ปัญหาดังกล่าว
โลจิสติกส์และธุรกิจระหว่างประเทศเบื้องต้น | Fundamentals of Logistics and International Business,"หลักการ ความสำคัญ และเทคโนโลยีในการจัดการโลจิสติกส์และโซ่อุปทาน การบริการลูกค้า การจัดการพัสดุและสินค้าคงคลัง 
    การขนส่ง ระบบบรรจุภัณฑ์ การจัดซื้อจัดหา กระบวนการธุรกิจระหว่างประเทศ เอกสารการค้า กฎระเบียบ พิธีการศุลกากร 
    และเงื่อนไขการส่งมอบสินค้าระหว่างประเทศ"
ความรู้เกี่ยวกับการบังคับคดีให้หน่วยงานของรัฐ | Knowledge of Conducting Legal Execution for State Agencies,รายวิชานี้มุ่งให้หน่วยงานของรัฐ ราชการส่วนกลาง ราชการส่วนภูมิภาค ราชการส่วนท้องถิ่น รัฐวิสาหกิจ องค์การมหาชน หน่วยงานอื่นของรัฐ มีความรู้ความเข้าใจเกี่ยวกับการบังคับคดีแพ่ง คดีปกครอง คดีอาญาและบังคับคดีกรณีผิดสัญญาประกันต่อศาลและประกันรับสิ่งของไปดูแลรักษา การตรวจสอบสถานะทรัพย์สินของลูกหนี้ ขั้นตอนในการส่งเรื่องให้สำนักงานอัยการสูงสุดตามอำนาจหน้าที่ และหน่วยงานดังกล่าวสามารถดำเนินกระบวนงานทั้งหมดในการดำเนินคดีได้อย่างถูกต้องได้
การตัดต่อวีดิทัศน์ดิจิทัลด้วยโปรแกรม Sony Vegas | Digital Video Editing with Sony Vegas,หลักการ ความหมาย บทบาทและประโยชน์ของการตัดต่อวีดิทัศน์ ชนิดของไฟล์ กระบวนการตัดต่อวีดิทัศน์ การเลือกใช้โปรแกรมและคุณสมบัติของเครื่องคอมพิวเตอร์ที่เหมาะสมกับงานการสร้างงานวีดิทัศน์ ศึกษาคำสั่ง เครื่องมือ การใช้งานเบื้องต้น การแก้ไขไฟล์ การเพิ่มเทคนิคและสีสันให้กับวีดิทัศน์ การซ้อนภาพวีดิทัศน์ การจัดทำข้อความประกอบในงานตัดต่อวีดิทัศน์ด้วยโปรแกรม Sony Vegas การใส่เสียงประกอบ ตลอดจนการนำไฟล์วีดิทัศน์ ไปใช้งานในรูปแบบต่าง ๆ
การตลาดดิจิทัลสำหรับผู้ประกอบการธุรกิจชุมชน | Digital Marketing for Community Business Entrepreneur,รายวิชานี้มุ่งเน้นให้ผู้เรียนเรียนรู้และทำความเข้าใจเกี่ยวกับความหมาย ความสำคัญของการตลาดดิจิทัลต่อผู้ประกอบการชุมชน โดยเนื้อหาการเรียนรู้ครอบคลุมถึงการเป็นผู้ประกอบการธุรกิจชุมชน การตลาดดิจิทัล การสร้างและการออกแบบสื่อเนื้อหา ส่วนประสมทางการตลาด จริยธรรมจรรยาบรรณและกฎหมายที่เกี่ยวข้องกับความเป็นผู้ประกอบการในยุคดิจิทัล
เครื่องมือพื้นฐานในการศึกษาชุมชน | Basic tools for community study,เมื่อได้เข้าศึกษาในรายวิชาเครื่องมือพื้นฐานในการศึกษาชุมชนนี้แล้ว จะช่วยให้ผู้ที่จะเริ่มต้นทำงานในชุมชน ผู้ที่กำลังทำงานในชุมชน หรือประชาชนที่สนใจได้เติมเต็มความรู้ สามารถทำงานงานชุมชนอย่างมีทิศทาง รู้ว่าจะต้องทำอะไรบ้าง และทำอย่างไรให้ประสบความสำเร็จ ในบริบททางสังคมวัฒนธรรมและประวัติศาสตร์แต่ละท้องถิ่น ได้เข้าใจข้อจำกัดและศักยภาพของชุมชน ทำให้เราเข้าใจชุมชนอย่างที่ชุมชนเป็น เนื้อหาได้บอกถึงความหมาย ความสำคัญ ประโยชน์ ประเภทของเครื่องมือพื้นฐานในการศึกษาชุมชน ประกอบด้วย แผนที่เดินดิน ผังเครือญาติ ระบบสุขภาพชุมชน โครงสร้างองค์กรชุมชน ปฏิทินชุมชน ประวัติศาสตร์ชุมชน และประวัติชีวิต
ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดียาเสพติด | Knowledge of Criminal Justice System in Conducting Narcotic Cases,วิชานี้มุ่งให้ความรู้เกี่ยวกับการดำเนินคดียาเสพติดในชั้นก่อนฟ้องจนถึงการดำเนินคดีในชั้นศาล ซึ่งจะทำให้ผู้เรียนสามารถมีความรู้ความเข้าใจในขั้นตอนการทำงานของพนักงานอัยการ ตั้งแต่เริ่มรับสำนวนจากพนักงานสอบสวน การตรวจเอกสารสำนวนเบื้องต้น เขตอำนาจศาล อายุความ ระยะเวลาคุมสำนวน การยื่นเอกสาร องค์ประกอบฟ้องที่จำเป็น ขั้นตอนการดำเนินคดีในศาล ตลอดจนปัญหาที่พบและเทคนิคการแก้ปัญหานั้น ๆ
